id,research_segment,property_name,site_name,city,state,zip_code,country,url,lat,lon,distance_miles,distance_band,nearest_anchor,drive_time_hours,unit_type,property_type,quantity_of_units,property_total_sites,brand_id,is_open,research_status,discovery_source,rate_avg_retail_daily_rate,rate_winter_weekday,rate_winter_weekend,rate_spring_weekday,rate_spring_weekend,rate_summer_weekday,rate_summer_weekend,rate_fall_weekday,rate_fall_weekend,rate_unit_rates_by_year,cohort_winter_weekday,cohort_winter_weekend,cohort_summer_weekday,cohort_summer_weekend,has_url,rate_definition
131,winter_missing_no_seasonal,Dome Oasis,,Pemberton,BC,V0N 2L0,Canada,https://domeoasis.com,50.3164,-122.8021,15.3,15-30,Whistler Blackcomb,0.5,Dome,Glamping,5,5,,Yes,in_progress,OpenAI Research - Domes,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
9897,winter_missing_has_summer_only,Arapaho Valley Ranch,Tipis,Granby,CO,80446,United States,https://arapahovalleyranch.com/,40.1187996,-105.7562976,15.5,15-30,Eldora Mountain Resort,0.5,Tipi,Glamping,5,61,,Yes,published,Sage,153,,,,,153,153,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":153,""weekend"":153},""winter"":{""weekday"":null,""weekend"":null}}}",,,153,153,true,winter_weekday_or_weekend
10601,winter_missing_has_summer_only,Adirondack Safari,Bell Tent,Warrensburg,NY,12885,United States,https://www.adirondacksafari.com/,43.5100703,-73.7496244,17.1,15-30,Gore Mountain,0.6,Bell Tent,Glamping,15,45,,Yes,published,Sage,271.5,,,,,239,304,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":239,""weekend"":304},""winter"":{""weekday"":null,""weekend"":null}}}",,,239,304,true,winter_weekday_or_weekend
10332,winter_missing_has_summer_only,Pagosa River Domes,Domes,,CO,,United States,https://www.larkindependent.com/hotels/pagosa-river-domes,37.2717152,-106.9940218,17.8,15-30,Wolf Creek Ski Area,0.6,Dome,Glamping,14,14,,Yes,published,Sage,245,,,,,225,265,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":225,""weekend"":265},""winter"":{""weekday"":null,""weekend"":null}}}",,,225,265,true,winter_weekday_or_weekend
11441,winter_missing_no_seasonal,Somerset Resort,,Somerset,PA,15541,United States,https://somersetresort.com/,40.0299356,-78.9515947,18.1,15-30,Seven Springs Mountain Resort,0.6,,Glamping,,39,,Yes,published,Tavily Search,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10498,winter_missing_has_other_seasons,Eastwind Hotels Windham,Lushna Suite,Windham,NY,12496,United States,https://www.eastwindhotels.com/windham,42.3085556,-74.2304389,18.7,15-30,Belleayre Mountain,0.6,Cabin,Glamping,7,10,,Yes,published,Sage; web_research_sauna_2026_05_27; web_research_hot_tub_2026_05_28,643.5,,,529,758,,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":529,""weekend"":758},""summer"":{""weekday"":null,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,,,true,winter_weekday_or_weekend
11444,winter_missing_no_seasonal,Charmed Resorts — Crowsnest Pass,,Blairmore,AB,T0K 0E0,Canada,https://charmedresorts.ca/locations/crowsnest-pass,49.61247,-114.43875,20.2,15-30,Castle Mountain Resort,0.7,Cabin,Glamping,60,,99cbb5e2-80f2-4a23-8b35-3d516b039c30,Yes,published,Tavily Search (Canada),,,,,,,,,,,,,,,true,winter_weekday_or_weekend
9904,winter_missing_has_summer_only,Bodhi Farms,Nordic Tipis,Bozeman,MT,59718,United States,https://www.bodhi-farms.com/,45.5717931,-111.1335523,20.5,15-30,Bridger Bowl,0.7,Tipi,Glamping,9,9,,Yes,published,Sage; web_research_sauna_2026_05_27; web_research_hot_tub_2026_05_28,358,,,250,385,399,398,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":250,""weekend"":385},""summer"":{""weekday"":399,""weekend"":398},""winter"":{""weekday"":null,""weekend"":null}}}",,,399,398,true,winter_weekday_or_weekend
42,winter_missing_no_seasonal,Les Refuges Perchés,,Nominingue,QC,J0W 1R0,Canada,https://www.refugesperches.com,46.401,-74.9331,21.1,15-30,Mont Tremblant,0.7,Treehouse,Glamping,8,8,,Yes,in_progress,OpenAI Research - Treehouses,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10193,winter_missing_has_summer_only,Huttopia White Mountains,Trappeur,Albany,NH,03818,United States,https://canada-usa.huttopia.com/en/,43.9557481,-71.20827,21.3,15-30,Loon Mountain Ski Resort,0.7,Safari Tent,Glamping,61,96,7b37a1a6-e88e-41f2-943c-bd96d013100a,Yes,published,Sage,287.25,,,186,295,260,408,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":186,""weekend"":295},""summer"":{""weekday"":260,""weekend"":408},""winter"":{""weekday"":null,""weekend"":null}}}",,,260,408,true,winter_weekday_or_weekend
10116,winter_missing_has_other_seasons,Dunton River Camp,Mountain and River Tents,Dolores,CO,81323,United States,https://www.duntondestinations.com/river-camp/,37.7372463,-108.154982,21.8,15-30,Telluride Ski Resort,0.7,Safari Tent,Glamping,8,8,,Yes,published,Sage; web_research_sauna_2026_05_27; web_research_hot_tub_2026_05_28,2240.5,,,2192,2289,,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":2192,""weekend"":2289},""summer"":{""weekday"":null,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,,,true,winter_weekday_or_weekend
10212,winter_missing_has_other_seasons,Hemlock Falls,Tents,Parksville,NY,12768,United States,https://www.hemlockfallscamping.com,41.8700543,-74.7720816,22.7,15-30,Belleayre Mountain,0.8,Safari Tent,Glamping,4,4,,Yes,published,Sage,325,,,325,,,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":325,""weekend"":null},""summer"":{""weekday"":null,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,,,true,winter_weekday_or_weekend
10215,winter_missing_has_summer_only,Huttopia Adirondacks,Trappeur Duo,Lake Luzerne,NY,12846,United States,https://canada-usa.huttopia.com/en/site/adirondacks/,43.3800359,-73.7772758,23.2,15-30,Gore Mountain,0.8,Safari Tent,Glamping,16,104,7b37a1a6-e88e-41f2-943c-bd96d013100a,Yes,published,Sage; web_research_sauna_2026_05_27; web_research_hot_tub_2026_05_27,372.25,,,235,580,246,428,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":235,""weekend"":580},""summer"":{""weekday"":246,""weekend"":428},""winter"":{""weekday"":null,""weekend"":null}}}",,,246,428,true,winter_weekday_or_weekend
11449,winter_missing_no_seasonal,Fungi Forest Retreat,,Pincher Creek,AB,,Canada,,49.485667,-113.9502919,23.7,15-30,Castle Mountain Resort,0.8,Cabin,Glamping,5,,,Yes,in_progress,Tavily Search (Canada),,,,,,,,,,,,,,,false,winter_weekday_or_weekend
10680,winter_missing_has_summer_only,Cheekye Ranch,Alpha Yurt,Brackendale,BC,,Canada,https://www.cheekyeranch.com/,49.7988088,-123.1578675,23.8,15-30,Whistler Blackcomb,0.8,Yurt,Glamping,5,11,,Yes,published,Sage,375,,,355,395,355,395,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":355,""weekend"":395},""summer"":{""weekday"":355,""weekend"":395},""winter"":{""weekday"":null,""weekend"":null}}}",,,355,395,true,winter_weekday_or_weekend
10397,winter_missing_has_summer_only,Goosewing Ranch,Wagon Lovers,Kelly,WY,83011,United States,https://goosewingranch.com/,43.5561613,-110.28103,24.5,15-30,Snow King Mountain,0.8,Covered Wagon,Glamping,4,15,,Yes,published,Sage,2091,,,,,2091,2091,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":2091,""weekend"":2091},""winter"":{""weekday"":null,""weekend"":null}}}",,,2091,2091,true,winter_weekday_or_weekend
10548,winter_missing_has_summer_only,Alpine Lakes Lodge,Cabin,Easton,WA,98925,United States,https://alpinelakeslodge.com/,47.2698154,-121.281559,24.8,15-30,Crystal Mountain,0.8,Cabin,Glamping,6,7,,Yes,published,Sage,140,,,,,140,140,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":140,""weekend"":140},""winter"":{""weekday"":null,""weekend"":null}}}",,,140,140,true,winter_weekday_or_weekend
10587,winter_missing_has_summer_only,Under Canvas North Yellowstone,Yellowstone River Suite,Livingston,MT,59074,United States,https://www.undercanvas.com/camps/north-yellowstone/,45.5192271,-110.5766455,25.8,15-30,Bridger Bowl,0.9,Safari Tent,Glamping,7,35,2a78831f-3c15-4b52-b5a3-6c249f6a86a3,Yes,published,Sage,1317,,,1099,1319,1451,1703,1055,1275,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":1319,""weekend"":1319},""summer"":{""weekday"":1484,""weekend"":1484},""winter"":{""weekday"":null,""weekend"":null}}}",,,1451,1703,true,winter_weekday_or_weekend
11454,winter_missing_no_seasonal,Trappers Hill Lodges & Campground,,Bighorn No.8,AB,,Canada,https://www.trappershill.com/,51.3728571,-115.0327255,27.1,15-30,Mount Norquay,0.9,,Glamping,16,,,Yes,in_progress,Tavily Search (Canada),,,,,,,,,,,,,,,true,winter_weekday_or_weekend
129,winter_missing_no_seasonal,Glamping Sainte-Marguerite,,Sainte-Marguerite-du-Lac-Masson,QC,J0T 1L0,Canada,https://glampingsaintemarguerite.com,46.0456,-74.0653,27.5,15-30,Mont Tremblant,0.9,Dome,Glamping,7,7,,Yes,in_progress,OpenAI Research - Domes,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10746,winter_missing_has_summer_only,Mount Engadine Lodge,Glamping Tents,Canmore,AB,,Canada,https://mountengadine.com,50.8364882,-115.3448377,27.7,15-30,Mount Norquay,0.9,Canvas Tent,Glamping,5,15,,Yes,published,Sage,583,,,,,583,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":583,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,583,,true,winter_weekday_or_weekend
89,winter_missing_no_seasonal,Safari Ridge Glamping,,Kelowna,BC,V1Z 3L4,Canada,https://www.safariridgeglamping.com,49.888,-119.495,27.7,15-30,Big White Ski Resort,0.9,Safari Tent,Glamping,10,10,,Yes,in_progress,OpenAI Research - Safari Tents,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10388,winter_missing_has_summer_only,Catskill Conestoga Wagon Outpost,Wagons,Cooks Falls,NY,12776,United States,https://catskillwagonoutpost.com,41.964484,-75.0037191,27.8,15-30,Belleayre Mountain,0.9,Covered Wagon,Glamping,5,5,,Yes,published,Sage,205.25,,,173,239,170,239,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":173,""weekend"":239},""summer"":{""weekday"":170,""weekend"":239},""winter"":{""weekday"":null,""weekend"":null}}}",,,170,239,true,winter_weekday_or_weekend
171,winter_missing_no_seasonal,Lakeside Airstream Resort,,Kelowna,BC,V1Y 1Z9,Canada,https://www.lakesideairstreamresort.com,49.888,-119.496,27.8,15-30,Big White Ski Resort,0.9,Airstream,Glamping,9,9,,Yes,in_progress,OpenAI Research - Airstreams,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10549,winter_missing_has_other_seasons,Carson Ridge Luxury Cabins,Luxury Romantic Cabins,Carson,WA,98610,United States,https://carsonridgecabins.com/,45.7296742,-121.8207647,28.1,15-30,Timberline Lodge,0.9,Cabin,Glamping,10,10,,Yes,published,Sage; web_research_hot_tub_2026_05_28,507,,,507,,,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":507,""weekend"":null},""summer"":{""weekday"":null,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,,,true,winter_weekday_or_weekend
10316,winter_missing_has_summer_only,North Haven Campground,Glamping Tipi,Bonners Ferry,ID,83805,United States,https://www.northhavencampground.com/,48.7270659,-116.305734,28.8,15-30,Schweitzer,1,Other Glamping Unit,RV Resort,4,33,,Yes,published,Sage,125.67,,,109,129,139,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":109,""weekend"":129},""summer"":{""weekday"":139,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,139,,true,winter_weekday_or_weekend
9783,winter_missing_has_other_seasons,Savage River Lodge,Yurts,Frostburg,MD,21532,United States,https://www.savageriverlodge.com/,39.6550539,-79.0215155,29.2,15-30,Seven Springs Mountain Resort,1,Yurt,Glamping,8,26,,Yes,published,Sage,265,,,265,,,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":265,""weekend"":null},""summer"":{""weekday"":null,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,,,true,winter_weekday_or_weekend
10758,winter_missing_has_summer_only,Skyridge Glamping,Skybox Cabins,Kananaskis Village,AB,T0L 2H0,Canada,https://www.skyridgeglamping.com/,50.8990327,-115.1347755,29.2,15-30,Mount Norquay,1,Cabin,Glamping,5,5,,Yes,published,Sage,661.5,,,,,635,688,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":635,""weekend"":688},""winter"":{""weekday"":null,""weekend"":null}}}",,,635,688,true,winter_weekday_or_weekend
11587,winter_missing_no_seasonal,Container Cabins in the Catskills,,Saugerties,NY,12477,United States,https://www.containercabinsinthecatskills.com/,42.141,-73.942,29.3,15-30,Belleayre Mountain,1,Tiny Home,Glamping,4,,,Yes,published,market_report_coverage_gap_nyc_250mi; web_research_hot_tub_2026_05_27,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
44,winter_missing_no_seasonal,Cabanes des Grands Chênes,,Saint-Sauveur,QC,J0R 1R1,Canada,https://www.cabanesgrandschenes.com,45.8967,-74.1654,29.8,15-30,Mont Tremblant,1,Treehouse,Glamping,10,10,,Yes,in_progress,OpenAI Research - Treehouses,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10338,winter_missing_has_summer_only,Beehive Domes,Domes,Accident,MD,21520,United States,https://www.bumblebee.camp/,39.5802735,-79.3267606,30.6,30-50,Seven Springs Mountain Resort,1,Dome,Glamping,7,7,,Yes,published,Sage,275,,,,,275,275,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":275,""weekend"":275},""winter"":{""weekday"":null,""weekend"":null}}}",,,275,275,true,winter_weekday_or_weekend
10386,winter_missing_has_summer_only,Chico Hot Springs Resort,Camp Conestoga,Pray,MT,59065,United States,https://www.chicohotsprings.com/,45.3388861,-110.6916502,34.5,30-50,Bridger Bowl,1.2,Covered Wagon,Glamping,6,6,,Yes,published,Sage; web_research_hot_tub_2026_05_28,309.75,,,218,367,305,349,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":218,""weekend"":367},""summer"":{""weekday"":305,""weekend"":349},""winter"":{""weekday"":null,""weekend"":null}}}",,,305,349,true,winter_weekday_or_weekend
110,winter_missing_no_seasonal,The Yurt Village at Frost Mountain,,Brownfield,ME,04010,United States,https://www.frostmountainyurts.com,43.9378,-70.9308,34.5,30-50,Bretton Woods Mountain Resort,1.1,Yurt,Glamping,6,6,,Yes,published,OpenAI Research - Yurts,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
9905,winter_missing_has_summer_only,Dreamcatcher Tipi Hotel,Tipi,Gardiner,MT,59030,United States,https://www.dreamcatchertipihotel.com/,45.0851973,-110.774843,34.6,30-50,Big Sky Resort,1.2,Tipi,Glamping,12,12,,Yes,published,Sage; web_research_hot_tub_2026_05_28,338.67,,,322,,347,347,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":322,""weekend"":null},""summer"":{""weekday"":347,""weekend"":347},""winter"":{""weekday"":null,""weekend"":null}}}",,,347,347,true,winter_weekday_or_weekend
11566,winter_missing_no_seasonal,Roadhouse Ranch & Camp,,Terrebonne,OR,97760,United States,https://www.roadhouseranch.com/,44.352,-121.176,34.6,30-50,Mt. Bachelor,1.2,Yurt,Glamping,5,15,,Yes,published,market_report_coverage_gap,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10221,winter_missing_has_other_seasons,Seneca Sol,Safari Tents,Burdett,NY,14818,United States,https://www.senecasol.com,42.4563432,-76.8466677,34.7,30-50,Bristol Mountain,1.2,Safari Tent,Glamping,6,7,,Yes,published,Sage; web_research_sauna_2026_05_27; web_research_hot_tub_2026_05_28,250,,,225,275,,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":225,""weekend"":275},""summer"":{""weekday"":null,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,,,true,winter_weekday_or_weekend
10019,winter_missing_has_other_seasons,Gather Greene,Tiny Home Cabin,Coxsackie,NY,12051,United States,https://www.gathergreene.com/,42.3259209,-73.8826383,34.8,30-50,Belleayre Mountain,1.2,Tiny Home,Glamping,17,18,,Yes,published,Sage; web_research_hot_tub_2026_05_27,596,,,596,,,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":596,""weekend"":null},""summer"":{""weekday"":null,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,,,true,winter_weekday_or_weekend
10652,winter_missing_has_summer_only,Camp Catskills,Airstream,Catskill,NY,12414,United States,https://campcatskillsrvpark.com,42.3038734,-73.8672442,35,30-50,Belleayre Mountain,1.2,Airstream,Glamping,6,9,,Yes,published,Sage,160,,,160,160,160,160,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":160,""weekend"":160},""summer"":{""weekday"":160,""weekend"":160},""winter"":{""weekday"":null,""weekend"":null}}}",,,160,160,true,winter_weekday_or_weekend
10783,winter_missing_has_summer_only,Utopia Feels,3 Queen Bed Glamping Tent,Coldstream,BC,V1B 3C7,Canada,https://www.utopiafeels.com/,50.2228585,-119.1200827,35.6,30-50,Big White Ski Resort,1.2,Bell Tent,Glamping,9,,,Yes,published,Sage,287.5,,,250,300,250,350,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":250,""weekend"":300},""summer"":{""weekday"":250,""weekend"":350},""winter"":{""weekday"":null,""weekend"":null}}}",,,250,350,true,winter_weekday_or_weekend
98,winter_missing_no_seasonal,Kootenay Safari Lodge,,Nelson,BC,V1L 3E9,Canada,https://www.kootenaysafarilodge.com,49.4928,-117.2948,35.9,30-50,Red Mountain Resort,1.2,Safari Tent,Glamping,7,7,,Yes,in_progress,OpenAI Research - Safari Tents,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
130,winter_missing_no_seasonal,Borealis Dome Experience,,Golden,BC,V0A 1H0,Canada,https://borealisdomeexperience.com,51.2979,-116.9644,36,30-50,Lake Louise Ski Resort,1.2,Dome,Glamping,8,8,,Yes,in_progress,OpenAI Research - Domes,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
73,winter_missing_no_seasonal,Canopy by Nature,,Golden,BC,V0A 1H0,Canada,https://canopybynature.com,51.3,-116.9667,36.1,30-50,Lake Louise Ski Resort,1.2,Treehouse,Glamping,8,8,,Yes,in_progress,OpenAI Research - Treehouses,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
148,winter_missing_no_seasonal,Hobbit Haven Retreat,,Golden,BC,V0A 1H0,Canada,https://www.hobbithavenretreat.com,51.2966,-116.9644,36.1,30-50,Lake Louise Ski Resort,1.2,Hobbit House,Glamping,6,6,,Yes,in_progress,OpenAI Research - Hobbit Homes,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10628,winter_missing_has_summer_only,Under Canvas Columbia River Gorge,Mount Hood Suite,White Salmon,WA,98672,United States,https://www.undercanvas.com/camps/columbia-river-gorge/,45.8462535,-121.4828784,36.7,30-50,Mt. Hood Meadows,1.2,Safari Tent,Glamping,5,35,2a78831f-3c15-4b52-b5a3-6c249f6a86a3,Yes,published,Sage,993.5,,,829,995,1094,1285,796,962,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":934,""weekend"":1099},""winter"":{""weekday"":null,""weekend"":null}}}",,,1094,1285,true,winter_weekday_or_weekend
