queue,id,property_id,property_name,site_name,city,state,url,is_open,property_type,land_operator_category,quantity_of_units,canonical_from_site_name,sibling_unit_types
proposed_placeholder,12935,7e2d6e8a-9160-48c0-a514-69453d07ff34,Evergreen Resort,Proposed glamping site — not built,Cadillac,MI,https://moderncampground.com/usa/michigan/evergreen-resorts-10m-glamping-hotel-development-project-faces-opposition/,Cancelled,Outdoor Resort,private_commercial,32,,
state_park_placeholder,11738,5ca157bf-d474-4045-8b0b-13c6514bbb12,Fall Creek Falls State Park,Fall Creek Falls State Park,Spencer,TN,https://tnstateparks.com/parks/fall-creek-falls,Yes,Glamping,state_park,,,
proposed_placeholder,12940,ec9010bb-a9f0-4cad-ab4f-723a25559f5d,Flamingo Heights Glamping Resort,Proposed yurts and teepees — not built,Flamingo Heights,CA,https://moderncampground.com/usa/california/san-bernardino-county-planning-commission-denies-proposed-75-site-glamping-project/,Cancelled,Glamping Resort,private_commercial,75,,
state_park_placeholder,11691,f97afbab-fc89-45b5-8ae6-0a4990a17d17,Fontainebleau State Park,Fontainebleau State Park,Mandeville,LA,https://www.lastateparks.com/parks-preserves/fontainebleau-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11769,4a82dbbb-1f0a-44c7-840a-2e27df3f9bbf,Franconia Notch State Park,Franconia Notch State Park,Franconia,NH,https://www.nhstateparks.org/visit/state-parks/franconia-notch-state-park.html,Yes,Glamping,state_park,,,
property_shell,12315,f7f4594c-1b78-4546-99c2-954d4bf39e38,Galt Valley Artsy Tucked Away Retreat,,Basalt,CO,https://www.glamping.com/destination/north-america/colorado/basalt/galt-valley-artsy-tucked-away-retreat/,Yes,Glamping Resort,private_commercial,,,
property_shell,11649,9f6059a7-a516-4716-b4c5-a9c779bcd75e,Gateway Canyons Resort & Spa,Gateway Canyons Resort & Spa,Gateway,CO,https://www.gatewaycanyons.com/,Yes,Outdoor Boutique Hotel,private_commercial,,,
state_park_placeholder,11716,4fdbb28a-8c9a-4026-b805-2e1db936e837,Geneva State Park Lodge,Geneva State Park Lodge,Geneva,OH,https://www.greatohiolodges.com/lodges/geneva/,Yes,Glamping,state_park,,,
state_park_placeholder,11707,76e222be-307b-442c-8121-c0d0e23581a9,Goose Creek State Park,Goose Creek State Park,Washington,NC,https://www.ncparks.gov/state-parks/goose-creek-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11710,662a25a5-6e95-4126-8171-6f2b66bad2ab,Gooseberry Falls State Park,Gooseberry Falls State Park,Two Harbors,MN,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00172,Yes,Glamping,state_park,,,
state_park_placeholder,11773,43e2313f-aa73-4f88-9786-1516181b6318,Hammonasset Beach State Park,Hammonasset Beach State Park,Madison,CT,https://portal.ct.gov/DEEP/State-Parks/Parks/Hammonasset-Beach-State-Park,Yes,Glamping,state_park,,,
property_shell,11462,77761442-2481-4901-a293-18ef22bf34a6,Haven Hills Campground & Resort,,Aledo,IL,https://www.havenhillscampground.com/,Yes,Glamping,,,,
property_shell,10846,881d84b0-d724-439f-ba76-8acfc46ddcb6,Headwaters Jupiter,,Jupiter,FL,https://headwatersjupiter.com/,Yes,Outdoor Boutique Hotel,,,,
property_shell,12320,9ebb3588-f28e-4d79-8161-3e770c75f0d5,Heaven's Gate Mountain Getaway,,Ellijay,GA,https://www.glamping.com/destination/north-america/georgia/ellijay/heavens-gate-mountain-getaway/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11761,12a41264-667c-4071-aceb-0c834e41529f,High Point State Park,High Point State Park,Sussex,NJ,https://www.nj.gov/dep/parksandforests/parks/highpoint.html,Yes,Glamping,state_park,,,
named_site,13412,cc0063b2-3401-46f8-9bd5-1c4d6cd19d6f,Historic Two Guns Resort,Cliffside hotel,Two Guns,AZ,https://apnews.com/general-news-4845ee68dfbfba3225484fe17659b3cb,Cancelled,Glamping Resort,private_commercial,13,,Cabin; Covered Wagon; RV Site; Tipi; Yurt
state_park_placeholder,11717,d1129d18-09ad-4575-9230-0f0d1f73d8cf,Hocking Hills State Park Lodge,Hocking Hills State Park Lodge,Logan,OH,https://www.greatohiolodges.com/lodges/hocking-hills/,Yes,Glamping,state_park,,,
state_park_placeholder,11699,35374206-601a-42b4-9433-3adf5365c3be,Hontoon Island State Park,Hontoon Island State Park,DeLand,FL,https://www.floridastateparks.org/parks-and-trails/hontoon-island-state-park,Yes,Glamping,state_park,,,
named_site,9596,0fefac00-33ed-449b-8b0b-8b43b725b224,Huckleberry Tent & Breakfast,Canvas Tent,Clark Fork,ID,http://www.huckleberrytentandbreakfast.com/,Closed,Glamping,,,,
state_park_placeholder,11721,30c98cf3-89eb-499f-a3c7-1547c01724a2,Hugh White State Park,Hugh White State Park,Grenada,MS,https://www.mdwfp.com/parks-destinations/state-parks/hugh-white,Yes,Glamping,state_park,,,
state_park_placeholder,11702,65335bdf-6678-4ba4-bd17-ff5a53e5d7d5,Hunting Island State Park,Hunting Island State Park,Hunting Island,SC,https://southcarolinaparks.com/hunting-island,Yes,Glamping,state_park,,,
property_shell,10859,3e48ad3e-072a-4c0e-b354-5e67d1ce71ed,Huttopia Berkshires,,Hancock,MA,https://canada-usa.huttopia.com/en/site/berkshires/,Yes,Glamping,,,,
state_park_placeholder,11762,988b5707-6dcd-412b-9447-2f9a68ba18f9,Island Beach State Park,Island Beach State Park,Seaside Park,NJ,https://www.nj.gov/dep/parksandforests/parks/islandbeach.html,Yes,Glamping,state_park,,,
state_park_placeholder,11712,b1a27e6b-61b0-4e1a-9dab-8f951ffa0ed3,Itasca State Park,Itasca State Park,Park Rapids,MN,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00171,Yes,Glamping,state_park,,,
state_park_placeholder,11711,e35ebd9b-8ef2-45d9-ade2-81aa63567104,Jay Cooke State Park,Jay Cooke State Park,Carlton,MN,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00173,Yes,Glamping,state_park,,,
state_park_placeholder,11695,bc805afa-ba12-40d0-bc7a-f25f9a8284f6,Joe Wheeler State Park Resort,Joe Wheeler State Park Resort,Rogersville,AL,https://www.alapark.com/parks/joe-wheeler-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11701,6cde624e-cfcd-403b-9ae2-9e0a196e3d21,John Pennekamp Coral Reef State Park,John Pennekamp Coral Reef State Park,Key Largo,FL,https://www.floridastateparks.org/parks-and-trails/john-pennekamp-coral-reef-state-park,Yes,Glamping,state_park,,,
property_shell,12963,d87604e7-f156-4da3-aa3f-f1ceae125704,Julandy’s Isle Glamping Resort,,Leesville,LA,https://julandy-isle.com/,Under Construction,Glamping Resort,private_commercial,5,,
state_park_placeholder,11725,7d2312dd-5477-4f09-9f05-5ef11b93fe2b,Kankakee River State Park,Kankakee River State Park,Kankakee,IL,https://www2.illinois.gov/dnr/Parks/Pages/KankakeeRiver.aspx,Yes,Glamping,state_park,,,
property_shell,10793,e4bfdf06-b255-411b-be22-2450d12824f4,Key Largo Kampground,,,,https://keylargokampground.com/,Yes,Glamping,,,,
state_park_placeholder,11767,6a63322e-b60f-440c-a0c5-296826d3c16a,Killens Pond State Park,Killens Pond State Park,Felton,DE,https://destateparks.com/Inland/KillensPond,Yes,Glamping,state_park,,,
named_site,10946,c19c8b39-de56-41ff-80b0-928685c2c138,Lagom Retreat,Cabin,Dripping Springs,TX,https://lagom-retreat.com/,Yes,Glamping,,,Cabin,
state_park_placeholder,11732,c64b389c-20c0-4a15-98e9-cb2ca491588e,Lake Cascade State Park,Lake Cascade State Park,Cascade,ID,https://parksandrecreation.idaho.gov/parks/lake-cascade,Yes,Glamping,state_park,,,
state_park_placeholder,11690,87deedc2-515d-40c5-a6e3-ed10d6116d7c,Lake Fausse Pointe State Park,Lake Fausse Pointe State Park,St. Martinville,LA,https://www.lastateparks.com/parks-preserves/lake-fausse-pointe-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11697,df9853f6-3cc8-4ca1-bcb8-eb02556ee349,Lakepoint Resort State Park,Lakepoint Resort State Park,Eufaula,AL,https://www.alapark.com/parks/lakepoint-state-park,Yes,Glamping,state_park,,,
property_shell,12351,20efd497-653c-49f2-8186-7bc36a24b5bd,Langley Lodging,,Langley,WA,https://www.glamping.com/destination/north-america/washington/langley/langley-lodging/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11752,b41fd566-da81-4f36-98ba-b7eec86c7ee6,Letchworth State Park,Letchworth State Park,Castile,NY,https://parks.ny.gov/parks/letchworth/,Yes,Glamping,state_park,,,
property_shell,11627,3347a615-917c-4975-a95b-f05c4266a815,Loloma Lodge,Loloma Lodge,McKenzie Bridge,OR,https://www.lolomalodge.com/,Yes,Glamping,private_commercial,,,
state_park_placeholder,11726,66e38254-72e0-4ef3-acf9-2487fd34e3a1,Ludington State Park,Ludington State Park,Ludington,MI,https://www2.dnr.state.mi.us/parksandtrails/details.aspx?id=424&type=SFPG,Yes,Glamping,state_park,,,
state_park_placeholder,11768,98a2d83a-38b3-4465-a30e-9ba89cdaa910,Lums Pond State Park,Lums Pond State Park,Bear,DE,https://destateparks.com/Inland/LumsPond,Yes,Glamping,state_park,,,
property_shell,12322,e07a16da-cf3f-4f8e-8f37-a52d9e9f559c,Maui Eco Retreat,,Haiku,HI,https://www.mauiecoretreat.com/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11715,60d678ee-a756-41f4-84e8-386d6d1cf3b6,Maumee Bay State Park Lodge,Maumee Bay State Park Lodge,Oregon,OH,https://www.greatohiolodges.com/lodges/maumee-bay/,Yes,Glamping,state_park,,,
state_park_placeholder,11706,477c86a7-d129-4ae4-bc98-cab1cfd020c1,Merchants Millpond State Park,Merchants Millpond State Park,Gatesville,NC,https://www.ncparks.gov/state-parks/merchants-millpond-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11749,24c7f7bd-7e17-45eb-bd92-940c0df76179,Minnewaska State Park Preserve,Minnewaska State Park Preserve,Kerhonkson,NY,https://parks.ny.gov/parks/minnewaska/,Yes,Glamping,state_park,,,
state_park_placeholder,11739,116ae8c2-946f-42a0-a045-6d998ee8a3d1,Montgomery Bell State Park,Montgomery Bell State Park,Burns,TN,https://tnstateparks.com/parks/montgomery-bell,Yes,Glamping,state_park,,,
state_park_placeholder,11755,35d0cd04-da76-4759-a9a8-2bf2b39d75e8,Mount Greylock State Reservation,Mount Greylock State Reservation,Lanesborough,MA,https://www.mass.gov/locations/mount-greylock-state-reservation,Yes,Glamping,state_park,,,
property_shell,12332,c89a712b-b873-42e2-84eb-b83cb5cf1f20,Mountain Horse Farm B&B and Wellness Retreat,,Naples,NY,https://www.mountainhorsefarm.com/,Yes,Glamping Resort,private_commercial,,,
property_shell,12354,8fe2f291-001b-4e16-880b-652f01f35547,Mulroy's Irish Acres Farm,,New London,WI,https://www.glamping.com/destination/north-america/wisconsin/new-london/mulroys-irish-acres-farm/,Yes,Glamping Resort,private_commercial,,,
property_shell,12310,3e7d1dfc-4338-499c-bcd5-639b0b4fd00b,Murphys Glamping,,Murphys,CA,https://www.glamping.com/destination/north-america/california/murphys/murphys-glamping/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11704,7129bea8-ff09-472b-9d40-4b8f9aba4525,Myrtle Beach State Park,Myrtle Beach State Park,Myrtle Beach,SC,https://southcarolinaparks.com/myrtle-beach,Yes,Glamping,state_park,,,
named_site,12995,80e41d7c-e63c-4d9d-991c-8a5856f0dae1,Nicholas Beaver Lake Glamping Resort,Glamping tent,Rogers,AR,https://www.arkansasonline.com/news/2024/mar/21/benton-county-planning-board-gives-green-light-to/,Proposed Development,Glamping,private_commercial,40,,Covered Wagon
state_park_placeholder,11753,dded0cf4-6429-4c05-9e1f-2c7464039106,Nickerson State Park,Nickerson State Park,Brewster,MA,https://www.mass.gov/locations/nickerson-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11771,fcc66c36-ab2a-4e33-8d39-9b7060274027,Pawtuckaway State Park,Pawtuckaway State Park,Nottingham,NH,https://www.nhstateparks.org/visit/state-parks/pawtuckaway-state-park.html,Yes,Glamping,state_park,,,
state_park_placeholder,11720,985c8f61-bf29-4c10-84fd-c6b4774fae57,Percy Quin State Park,Percy Quin State Park,McComb,MS,https://www.mdwfp.com/parks-destinations/state-parks/percy-quin,Yes,Glamping,state_park,,,
state_park_placeholder,11740,230cb6b7-7d90-412a-a247-b7c23dff674e,Pickwick Landing State Park,Pickwick Landing State Park,Counce,TN,https://tnstateparks.com/parks/pickwick-landing,Yes,Glamping,state_park,,,
property_shell,12309,d9f19d55-d8b4-4776-8fd7-3a1ab146cb1d,Pine Mountain Camp,,Lake Arrowhead,CA,https://www.glamping.com/destination/north-america/california/lake-arrowhead/pine-mountain-camp/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11730,8b904632-3191-46d0-9f03-e2ee77135932,Ponderosa State Park,Ponderosa State Park,McCall,ID,https://parksandrecreation.idaho.gov/parks/ponderosa,Yes,Glamping,state_park,,,
state_park_placeholder,11737,66f80e62-1cbc-4513-b652-b0c0e033fc3f,Potato Creek State Park,Potato Creek State Park,North Liberty,IN,https://www.in.gov/dnr/state-parks/parks-lakes/potato-creek-state-park/,Yes,Glamping,state_park,,,
property_shell,12330,ae167fb2-6018-4a56-a267-947ab46c68e7,Rancho Gallina,,Santa Fe,NM,https://www.glamping.com/destination/north-america/new-mexico/santa-fe/rancho-gallina/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11709,0cdcacb7-baa4-4afc-bc2e-ef588e5f5868,Raven Rock State Park,Raven Rock State Park,Lillington,NC,https://www.ncparks.gov/state-parks/raven-rock-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11723,5e060832-0cd5-4240-aede-38b418911c04,Rock Cut State Park,Rock Cut State Park,Loves Park,IL,https://www2.illinois.gov/dnr/Parks/Pages/RockCut.aspx,Yes,Glamping,state_park,,,
state_park_placeholder,11775,284291b0-feb6-4dec-a594-fc7d2b3897af,Rocky Neck State Park,Rocky Neck State Park,Niantic,CT,https://portal.ct.gov/DEEP/State-Parks/Parks/Rocky-Neck-State-Park,Yes,Glamping,state_park,,,
state_park_placeholder,11678,f2dff82c-6b0d-47ae-b0ed-c2f5d1111f8e,Roman Nose State Park Lodge,Roman Nose State Park Lodge,Watonga,OK,https://travelok.com/state-parks/roman-nose-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11714,9df4456f-9499-46dc-b763-af338cfb65e1,Salt Fork State Park Lodge,Salt Fork State Park Lodge,Lore City,OH,https://www.greatohiolodges.com/lodges/salt-fork/,Yes,Glamping,state_park,,,
state_park_placeholder,11760,33c7b72a-bc17-48aa-8935-176192986c56,Sebago Lake State Park,Sebago Lake State Park,Casco,ME,https://www.maine.gov/dacf/parks/sebago_lake_sp/index.shtml,Yes,Glamping,state_park,,,
property_shell,12327,0deb3dc6-558b-4076-8baf-f21b2f7ec0ea,Seguin,,Georgetown,ME,https://www.glamping.com/destination/north-america/maine/georgetown/seguin/,Yes,Glamping Resort,private_commercial,,,
property_shell,10844,5467e778-a16a-4e2f-8560-2e57d8aca62c,Shawnee Inn & Golf Resort,,Shawnee on Delaware,PA,https://www.shawneeinn.com/,Yes,Unknown,,,,
property_shell,12341,5981e6eb-010c-4d2e-98bf-d7c47c7b905c,Shelter Cove Resort & Marina,,Crescent,OR,https://www.glamping.com/destination/north-america/oregon/crescent/shelter-cove-resort-marina/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11729,5c62bcc7-70c9-41c9-bc2e-bf513e3c6fe1,Silver Lake State Park,Silver Lake State Park,Mears,MI,https://www2.dnr.state.mi.us/parksandtrails/details.aspx?id=496&type=SFPG,Yes,Glamping,state_park,,,
state_park_placeholder,11776,e6374b90-0f93-4855-8e05-255c1c7a7556,Silver Sands State Park,Silver Sands State Park,Milford,CT,https://portal.ct.gov/DEEP/State-Parks/Parks/Silver-Sands-State-Park,Yes,Glamping,state_park,,,
property_shell,11441,ff26f12f-f2fb-4486-a925-c2f9e3b00d43,Somerset Resort,,Somerset,PA,https://somersetresort.com/,Yes,Glamping,,,,
property_shell,12308,e89766df-1c10-4de7-861f-b30cd4cd9a19,Sorensen's Resort,,Hope Valley,CA,https://www.sorensensresort.com/,Yes,Glamping Resort,private_commercial,,,
property_shell,11622,2c56e524-c9ce-458d-9e7f-99cfab9ec3c6,Sou'wester Lodge,Sou'wester Lodge,Seaview,WA,https://souwesterlodge.com/,Yes,Glamping,private_commercial,,,
property_shell,12325,d0da99df-57ba-4d86-80a2-3ef8dfeb0f48,Spencer Pond Camps,,Beaver Cove,ME,https://www.spencerpondcamps.com/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11700,841e25a2-4670-4e86-b41c-2fb8e7a64225,Stephen Foster Folk Culture Center State Park,Stephen Foster Folk Culture Center State Park,White Springs,FL,https://www.floridastateparks.org/parks-and-trails/stephen-foster-folk-culture-center-state-park,Yes,Glamping,state_park,,,
property_shell,12349,222b33db-a470-4b3c-a1c9-a1626facc90b,Sterling Ridge Resort,,Jeffersonville,VT,https://www.sterlingridgeresort.com/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11705,1dd632bd-0631-438a-9395-6ba836dc5d35,Table Rock State Park,Table Rock State Park,Pickens,SC,https://southcarolinaparks.com/table-rock,Yes,Glamping,state_park,,,
state_park_placeholder,11728,2b722511-9954-49eb-bfee-f59d0886cba5,Tawas Point State Park,Tawas Point State Park,East Tawas,MI,https://www2.dnr.state.mi.us/parksandtrails/details.aspx?id=509&type=SFPG,Yes,Glamping,state_park,,,
property_shell,13027,3a760a79-54fd-440b-b536-b8574c4d40a5,Terra Vi Lodge,,Groveland,CA,,Proposed Development,Glamping Resort,private_commercial,,,
state_park_placeholder,11713,649da717-1325-486c-b9be-a7a78efd3853,Tettegouche State Park,Tettegouche State Park,Silver Bay,MN,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00174,Yes,Glamping,state_park,,,
proposed_placeholder,12131,4d9d9116-e3d0-44b3-ae29-21342f270e6d,The Grange Campground,Proposed mix — not built,Napa,CA,https://napavalleyregister.com/news/napa-city-council-rage-project-glamping-autozone-deny/article_53c0155e-0464-11f0-8d53-a3af5ec936ee.html,Cancelled,Glamping Resort,private_commercial,,,
